Ticker,Date,Adj Close,GDP,Unemp,InflationRate,HPI,CPI,FedFund,Mortgage
AAPL,2020-12-31,117.96359968185425,20990.541,6.733333333333333,0.2299502501607264,483.83,260.36366666666663,0.09,2.7607142857142857
AAPL,2021-03-31,126.08418223896965,21309.544,6.233333333333333,1.0731144002427584,510.74,263.15766666666667,0.08,2.875833333333333
AAPL,2021-06-30,127.4772698538644,21483.083,5.933333333333334,2.3397886944835244,539.21,269.315,0.07,3.003846153846154
AAPL,2021-09-30,145.0787034034729,21847.602,5.066666666666666,1.6009753139136995,557.78,273.62666666666667,0.09,2.8721428571428573
AAPL,2021-12-31,155.9703562259674,21738.871,4.166666666666667,1.5177614267615214,578.27,277.7796666666666,0.08,3.079230769230769
AAPL,2022-03-31,166.18398112635458,21708.16,3.8,2.2834644724416098,616.79,284.1226666666667,0.12,3.822307692307692
ADBE,2003-03-31,13.988337829464772,14743.567,5.866666666666667,1.0119595216191437,283.2,183.0,1.25,5.840769230769231
ADBE,2003-06-30,17.152995548551043,14988.782,6.133333333333333,0.3642987249544482,287.57,183.66666666666663,1.2466666666666668,5.506923076923077
ADBE,2003-09-30,18.049659848213196,15162.76,6.133333333333333,0.4900181488203481,295.71,184.5666666666667,1.0166666666666666,6.033846153846154
ADBE,2003-12-31,20.660690307617188,15248.68,5.833333333333333,0.0180603214737118,300.36,184.6,0.9966666666666668,5.9192857142857145
ADBE,2004-03-31,18.889885533240534,15366.85,5.7,0.9028530155290592,307.69,186.26666666666665,1.0033333333333332,5.5975
ADBE,2004-06-30,21.80805157076928,15512.619,5.599999999999999,1.4316392269148048,319.4,188.9333333333333,1.01,6.106153846153846
ADBE,2004-09-30,22.572023183107376,15670.88,5.433333333333334,0.3528581510233053,326.24,189.6,1.4333333333333331,5.894285714285714
ADBE,2004-12-31,28.906858563423157,15844.727,5.433333333333334,0.5977496483825728,333.72,190.7333333333333,1.95,5.7361538461538455
ADBE,2005-03-31,31.0005217380211,15922.782,5.3,0.6291506466270302,344.41,191.9333333333333,2.47,5.768461538461538
ADBE,2005-06-30,30.917812407016754,16047.587,5.1000000000000005,1.3372698853768794,354.89,194.5,2.9433333333333334,5.708461538461538
ADBE,2005-09-30,27.93281254172325,16136.734,4.966666666666667,1.2167952013710348,362.92,196.86666666666667,3.4599999999999995,5.7638461538461545
ADBE,2005-12-31,33.261746088663735,16353.835,4.966666666666667,0.5079580088046098,368.67,197.86666666666667,3.98,6.226153846153846
ADBE,2006-03-31,38.15048383897351,16396.151,4.733333333333333,0.5390835579514697,372.45,198.9333333333333,4.456666666666667,6.2469230769230775
ADBE,2006-06-30,32.694285740928045,16420.738,4.633333333333333,1.6923592493297557,375.51,202.3,4.906666666666667,6.602307692307692
ADBE,2006-09-30,32.03761900038946,16561.866,4.633333333333334,0.5602240896358524,379.35,203.4333333333333,5.246666666666667,6.5600000000000005
ADBE,2006-12-31,39.54412702530149,16611.69,4.433333333333334,-0.8520399803375156,380.76,201.7,5.246666666666667,6.243846153846154
ADBE,2007-03-31,39.708524672711484,16713.314,4.5,1.0191703850603195,380.51,203.75566666666668,5.256666666666667,6.214615384615384
ADBE,2007-06-30,42.32968260749938,16809.587,4.5,1.917329088597941,376.26,207.6623333333333,5.25,6.358461538461539
ADBE,2007-09-30,41.54365103585379,16915.191,4.666666666666667,0.2759287111929964,375.04,208.23533333333333,5.073333333333333,6.5515384615384615
ADBE,2007-12-31,44.17078125476837,16843.003,4.8,0.7112145553268334,372.29,209.71633333333327,4.496666666666667,6.224615384615385
ADBE,2008-03-31,35.25688515334833,16943.291,5.0,1.136773641855915,362.9,212.1003333333333,3.1766666666666663,5.872307692307692
ADBE,2008-06-30,39.86781245470047,16854.295,5.333333333333333,2.1953446560668555,351.46,216.75666666666663,2.0866666666666664,6.086923076923076
ADBE,2008-09-30,41.46031266450882,16485.35,6.0,1.163055346240793,348.22,219.27766666666665,1.94,6.322307692307692
ADBE,2008-12-31,24.719062387943268,16298.262,6.866666666666667,-2.828529429201632,350.8,213.07533333333333,0.5066666666666667,5.841428571428572
ADBE,2009-03-31,20.182295095725138,16269.145,8.266666666666667,-0.4976330750000701,341.6,212.015,0.1833333333333333,5.06
ADBE,2009-06-30,26.68968243069119,16326.281,9.3,1.0603023370987952,332.69,214.263,0.18,5.012307692307692
ADBE,2009-09-30,31.738906055688858,16502.754,9.633333333333333,0.6790719816300417,330.16,215.718,0.1566666666666666,5.162307692307692
ADBE,2009-12-31,35.467343628406525,16582.71,9.933333333333334,0.2011885888057785,326.22,216.152,0.12,4.922142857142857
ADBE,2010-03-31,34.661147602268905,16743.162,9.833333333333334,0.4014150536042482,323.25,217.01966666666667,0.1333333333333333,4.995833333333334
ADBE,2010-06-30,33.06206348964146,16872.266,9.633333333333333,0.4750721516790346,326.4,218.05066666666667,0.1933333333333333,4.922307692307692
ADBE,2010-09-30,28.655000060796738,16960.864,9.466666666666669,0.093250498355113,324.08,218.254,0.1866666666666666,4.4471428571428575
ADBE,2010-12-31,28.65999999642372,16920.632,9.5,0.2949163207394356,315.08,218.89766666666665,0.1866666666666666,4.436153846153847
ADBE,2011-03-31,33.465161477365804,17035.114,9.033333333333331,1.2648223751433374,309.54,221.6663333333333,0.1566666666666666,4.846923076923077
ADBE,2011-06-30,33.32634937952435,17031.313,9.066666666666666,1.7433108921968143,311.85,225.53066666666663,0.0933333333333333,4.650769230769231
ADBE,2011-09-30,26.429218769073486,17222.583,9.0,0.4085179842504782,313.28,226.452,0.0833333333333333,4.291538461538462
ADBE,2011-12-31,27.390476257082017,17367.01,8.633333333333333,-0.1520557704649761,310.0,226.10766666666663,0.0733333333333333,4.002307692307692
ADBE,2012-03-31,32.043709693416474,17444.525,8.266666666666667,0.7956386559205608,308.58,227.90666666666667,0.1033333333333333,3.922307692307693
ADBE,2012-06-30,32.33174596514021,17469.65,8.2,0.8275317381384317,312.7,229.7926666666667,0.1533333333333333,3.794615384615384
ADBE,2012-09-30,32.09920613727872,17489.852,8.033333333333333,0.2193281479826669,315.15,230.29666666666665,0.1433333333333333,3.553846153846154
ADBE,2012-12-31,34.22032282429357,17662.4,7.8,0.0360404695393112,316.72,230.37966666666668,0.16,3.359230769230769
ADBE,2013-03-31,39.491000175476074,17709.671,7.733333333333333,0.590329875755824,321.55,231.7396666666667,0.1433333333333333,3.496923076923077
ADBE,2013-06-30,44.30234360694885,17860.45,7.533333333333334,0.5409806118647387,326.16,232.9933333333333,0.1166666666666666,3.672307692307693
ADBE,2013-09-30,47.71437478065491,18016.147,7.233333333333333,0.3779793413259291,328.76,233.874,0.0833333333333333,4.44
ADBE,2013-12-31,55.24890619516373,17953.974,6.933333333333334,-0.2790676461114527,331.47,233.2213333333333,0.0866666666666666,4.293076923076924
ADBE,2014-03-31,64.13606518604716,18185.911,6.666666666666667,0.7612225296713904,337.89,234.99666666666667,0.0733333333333333,4.364615384615385
ADBE,2014-06-30,64.50317485748775,18406.941,6.2,1.1808678137278594,342.79,237.77166666666668,0.0933333333333333,4.227692307692307
ADBE,2014-09-30,70.87734413146973,18500.031,6.066666666666666,0.1146758444726447,345.57,238.04433333333336,0.09,4.135384615384615
ADBE,2014-12-31,70.09406244754791,18666.621,5.7,-0.8033517566055859,349.36,236.132,0.0999999999999999,3.963571428571429
ADBE,2015-03-31,74.59196722312052,18782.243,5.533333333333334,-0.5431990016883104,355.03,234.84933333333333,0.11,3.716666666666667
ADBE,2015-06-30,78.02650827074808,18857.418,5.433333333333334,1.2055956442996063,360.06,237.68066666666667,0.1233333333333333,3.819230769230769
ADBE,2015-09-30,81.06546866893768,18892.206,5.1000000000000005,0.2626773738433341,362.97,238.305,0.1366666666666667,3.954615384615384
ADBE,2015-12-31,89.84249973297119,19001.69,5.033333333333333,-0.4498436877111045,366.32,237.23300000000003,0.16,3.897857142857143
ADBE,2016-03-31,86.68229462670499,19062.709,4.9,0.0646340658059019,373.17,237.3863333333333,0.36,3.7384615384615385
ADBE,2016-06-30,96.05078136920929,19197.938,4.933333333333334,1.1723505565470749,379.82,240.16933333333336,0.3733333333333333,3.589230769230769
ADBE,2016-09-30,100.34109365940094,19304.352,4.9,0.3326819410748971,382.78,240.96833333333333,0.3966666666666666,3.446153846153846
ADBE,2016-12-31,105.86047593374101,19398.343,4.766666666666667,0.2225741971628503,385.54,241.50466666666668,0.45,3.842307692307693
ADBE,2017-03-31,117.36564537786668,19506.949,4.566666666666666,0.7907369629848171,394.18,243.4143333333333,0.7000000000000001,4.173076923076923
ADBE,2017-06-30,136.91825430733817,19660.766,4.366666666666667,0.5435177057500296,400.24,244.7373333333333,0.95,3.98
ADBE,2017-09-30,149.2385716513982,19882.352,4.333333333333333,0.3966156913806973,403.57,245.708,1.153333333333333,3.883846153846154
ADBE,2017-12-31,172.03936573815724,20044.077,4.166666666666667,0.3706296362619987,409.25,246.61866666666663,1.2033333333333334,3.922307692307693
ADBE,2018-03-31,203.32852397981236,20150.476,4.033333333333333,0.8861183797928218,416.78,248.804,1.4466666666666663,4.282307692307692
ADBE,2018-06-30,236.5481255054474,20276.154,3.9333333333333336,1.033075566845132,421.87,251.3743333333333,1.7366666666666666,4.544615384615384
ADBE,2018-09-30,257.83777703179254,20304.874,3.766666666666667,0.3272675677575165,423.32,252.197,1.923333333333333,4.566923076923077
ADBE,2018-12-31,241.4047619047619,20415.15,3.8333333333333335,-0.0574947362577682,428.05,252.052,2.22,4.7846153846153845
ADBE,2019-03-31,252.10246026711386,20584.528,3.866666666666666,0.3351160342574877,435.18,252.89666666666668,2.4033333333333333,4.373846153846154
ADBE,2019-06-30,277.72428530738466,20817.581,3.633333333333333,1.1985132267460896,440.74,255.92766666666665,2.3966666666666665,4.010769230769231
ADBE,2019-09-30,291.93672037124634,20951.088,3.6,0.2741660078433794,444.65,256.62933333333336,2.19,3.6584615384615375
ADBE,2019-12-31,294.2268753051758,20665.553,3.6,0.2130179974229928,449.81,257.176,1.643333333333333,3.7
ADBE,2020-03-31,342.04806420110884,19034.83,3.8333333333333335,0.4194274219470939,454.31,258.25466666666665,1.26,3.5215384615384617
ADBE,2020-06-30,370.53047737242684,20511.785,13.0,-0.5400354172367172,462.27,256.86,0.06,3.2392307692307694
ADBE,2020-09-30,465.17671966552734,20724.128,8.799999999999999,1.1314853746528408,472.44,259.7663333333333,0.0933333333333333,2.9523076923076923
ADBE,2020-12-31,483.1096887588501,20990.541,6.733333333333333,0.2299502501607264,483.83,260.36366666666663,0.09,2.7607142857142857
ADBE,2021-03-31,467.4257372246414,21309.544,6.233333333333333,1.0731144002427584,510.74,263.15766666666667,0.08,2.875833333333333
ADBE,2021-06-30,515.4711129324777,21483.083,5.933333333333334,2.3397886944835244,539.21,269.315,0.07,3.003846153846154
ADBE,2021-09-30,629.4064092636108,21847.602,5.066666666666666,1.6009753139136995,557.78,273.62666666666667,0.09,2.8721428571428573
ADBE,2021-12-31,625.0778121948242,21738.871,4.166666666666667,1.5177614267615214,578.27,277.7796666666666,0.08,3.079230769230769
ADBE,2022-03-31,481.1008054671749,21708.16,3.8,2.2834644724416098,616.79,284.1226666666667,0.12,3.822307692307692
ADI,2003-03-31,16.959058933570738,14743.567,5.866666666666667,1.0119595216191437,283.2,183.0,1.25,5.840769230769231
ADI,2003-06-30,21.152239784361825,14988.782,6.133333333333333,0.3642987249544482,287.57,183.66666666666663,1.2466666666666668,5.506923076923077
ADI,2003-09-30,24.410615652799606,15162.76,6.133333333333333,0.4900181488203481,295.71,184.5666666666667,1.0166666666666666,6.033846153846154
ADI,2003-12-31,28.510839194059372,15248.68,5.833333333333333,0.0180603214737118,300.36,184.6,0.9966666666666668,5.9192857142857145
ADI,2004-03-31,30.614918093527518,15366.85,5.7,0.9028530155290592,307.69,186.26666666666665,1.0033333333333332,5.5975
ADI,2004-06-30,29.797435637443296,15512.619,5.599999999999999,1.4316392269148048,319.4,188.9333333333333,1.01,6.106153846153846
ADI,2004-09-30,24.058374375104904,15670.88,5.433333333333334,0.3528581510233053,326.24,189.6,1.4333333333333331,5.894285714285714
ADI,2004-12-31,24.373233139514923,15844.727,5.433333333333334,0.5977496483825728,333.72,190.7333333333333,1.95,5.7361538461538455
ADI,2005-03-31,23.008769613797547,15922.782,5.3,0.6291506466270302,344.41,191.9333333333333,2.47,5.768461538461538
ADI,2005-06-30,22.895194500684738,16047.587,5.1000000000000005,1.3372698853768794,354.89,194.5,2.9433333333333334,5.708461538461538
ADI,2005-09-30,24.232502669095993,16136.734,4.966666666666667,1.2167952013710348,362.92,196.86666666666667,3.4599999999999995,5.7638461538461545
ADI,2005-12-31,23.242548352196103,16353.835,4.966666666666667,0.5079580088046098,368.67,197.86666666666667,3.98,6.226153846153846
ADI,2006-03-31,24.71633711168843,16396.151,4.733333333333333,0.5390835579514697,372.45,198.9333333333333,4.456666666666667,6.2469230769230775
ADI,2006-06-30,22.662935256958008,16420.738,4.633333333333333,1.6923592493297557,375.51,202.3,4.906666666666667,6.602307692307692
ADI,2006-09-30,19.727332947746156,16561.866,4.633333333333334,0.5602240896358524,379.35,203.4333333333333,5.246666666666667,6.5600000000000005
ADI,2006-12-31,20.761010124569847,16611.69,4.433333333333334,-0.8520399803375156,380.76,201.7,5.246666666666667,6.243846153846154
ADI,2007-03-31,22.40417639935603,16713.314,4.5,1.0191703850603195,380.51,203.75566666666668,5.256666666666667,6.214615384615384
ADI,2007-06-30,24.803052629743302,16809.587,4.5,1.917329088597941,376.26,207.6623333333333,5.25,6.358461538461539
ADI,2007-09-30,24.557696932838077,16915.191,4.666666666666667,0.2759287111929964,375.04,208.23533333333333,5.073333333333333,6.5515384615384615
ADI,2007-12-31,21.95295938849449,16843.003,4.8,0.7112145553268334,372.29,209.71633333333327,4.496666666666667,6.224615384615385
ADI,2008-03-31,18.745860865858734,16943.291,5.0,1.136773641855915,362.9,212.1003333333333,3.1766666666666663,5.872307692307692
ADI,2008-06-30,22.228485822677612,16854.295,5.333333333333333,2.1953446560668555,351.46,216.75666666666663,2.0866666666666664,6.086923076923076
ADI,2008-09-30,19.8269484937191,16485.35,6.0,1.163055346240793,348.22,219.27766666666665,1.94,6.322307692307692
ADI,2008-12-31,13.405193716287613,16298.262,6.866666666666667,-2.828529429201632,350.8,213.07533333333333,0.5066666666666667,5.841428571428572
ADI,2009-03-31,13.665025414013472,16269.145,8.266666666666667,-0.4976330750000701,341.6,212.015,0.1833333333333333,5.06
ADI,2009-06-30,15.6753939825391,16326.281,9.3,1.0603023370987952,332.69,214.263,0.18,5.012307692307692
ADI,2009-09-30,19.07794925570488,16502.754,9.633333333333333,0.6790719816300417,330.16,215.718,0.1566666666666666,5.162307692307692
ADI,2009-12-31,20.263793140649796,16582.71,9.933333333333334,0.2011885888057785,326.22,216.152,0.12,4.922142857142857
ADI,2010-03-31,20.742040821763336,16743.162,9.833333333333334,0.4014150536042482,323.25,217.01966666666667,0.1333333333333333,4.995833333333334
ADI,2010-06-30,21.10581379845029,16872.266,9.633333333333333,0.4750721516790346,326.4,218.05066666666667,0.1933333333333333,4.922307692307692
ADI,2010-09-30,21.393208414316177,16960.864,9.466666666666669,0.093250498355113,324.08,218.254,0.1866666666666666,4.4471428571428575
ADI,2010-12-31,25.429622292518616,16920.632,9.5,0.2949163207394356,315.08,218.89766666666665,0.1866666666666666,4.436153846153847
ADI,2011-03-31,28.650627566922097,17035.114,9.033333333333331,1.2648223751433374,309.54,221.6663333333333,0.1566666666666666,4.846923076923077
ADI,2011-06-30,28.95754541669573,17031.313,9.066666666666666,1.7433108921968143,311.85,225.53066666666663,0.0933333333333333,4.650769230769231
ADI,2011-09-30,25.164069533348083,17222.583,9.0,0.4085179842504782,313.28,226.452,0.0833333333333333,4.291538461538462
ADI,2011-12-31,26.28683208283924,17367.01,8.633333333333333,-0.1520557704649761,310.0,226.10766666666663,0.0733333333333333,4.002307692307692
ADI,2012-03-31,29.41604737312563,17444.525,8.266666666666667,0.7956386559205608,308.58,227.90666666666667,0.1033333333333333,3.922307692307693
ADI,2012-06-30,28.391353062220983,17469.65,8.2,0.8275317381384317,312.7,229.7926666666667,0.1533333333333333,3.794615384615384
ADI,2012-09-30,29.981087699769034,17489.852,8.033333333333333,0.2193281479826669,315.15,230.29666666666665,0.1433333333333333,3.553846153846154
ADI,2012-12-31,31.048133973152407,17662.4,7.8,0.0360404695393112,316.72,230.37966666666668,0.16,3.359230769230769
ADI,2013-03-31,34.745116551717125,17709.671,7.733333333333333,0.590329875755824,321.55,231.7396666666667,0.1433333333333333,3.496923076923077
ADI,2013-06-30,35.28131031990051,17860.45,7.533333333333334,0.5409806118647387,326.16,232.9933333333333,0.1166666666666666,3.672307692307693
ADI,2013-09-30,37.76373690366745,18016.147,7.233333333333333,0.3779793413259291,328.76,233.874,0.0833333333333333,4.44
ADI,2013-12-31,38.725328266620636,17953.974,6.933333333333334,-0.2790676461114527,331.47,233.2213333333333,0.0866666666666666,4.293076923076924
ADI,2014-03-31,40.38320116136895,18185.911,6.666666666666667,0.7612225296713904,337.89,234.99666666666667,0.0733333333333333,4.364615384615385
ADI,2014-06-30,42.68699997190445,18406.941,6.2,1.1808678137278594,342.79,237.77166666666668,0.0933333333333333,4.227692307692307
ADI,2014-09-30,41.61803138256073,18500.031,6.066666666666666,0.1146758444726447,345.57,238.04433333333336,0.09,4.135384615384615
ADI,2014-12-31,41.76989531517029,18666.621,5.7,-0.8033517566055859,349.36,236.132,0.0999999999999999,3.963571428571429
ADI,2015-03-31,46.74415244430792,18782.243,5.533333333333334,-0.5431990016883104,355.03,234.84933333333333,0.11,3.716666666666667
ADI,2015-06-30,53.779212225051154,18857.418,5.433333333333334,1.2055956442996063,360.06,237.68066666666667,0.1233333333333333,3.819230769230769
ADI,2015-09-30,48.54300683736801,18892.206,5.1000000000000005,0.2626773738433341,362.97,238.305,0.1366666666666667,3.954615384615384
ADI,2015-12-31,49.47062486410141,19001.69,5.033333333333333,-0.4498436877111045,366.32,237.23300000000003,0.16,3.897857142857143
ADI,2016-03-31,45.247612374727844,19062.709,4.9,0.0646340658059019,373.17,237.3863333333333,0.36,3.7384615384615385
